,user_count,user_id,user_star,user_useful
47,41,44302NAooinHOKKIWHDKXA,4.07,20
48,1,BDa9RGFZv9TV2lGAiuqjxQ,5.0,1
49,27,qw8n1PUrt4qBh-4eMjfv0Q,4.11,14
50,10,F2M53He6gzMb1vp3m7cKJg,4.78,3
51,2,Mcdt7tUA7jqiqCtyxXgq4g,2.0,0
52,3,q10h5nL1LnbaKMlNOfahfQ,4.33,6
53,407,CUUpi7gtqx1zojEGJ6Z5ew,3.82,1244
54,379,6hvcowqr8NYug9u-Bzw8Jg,3.51,795
55,1,pjfwk6ZnCAcJAsX4V6QhpA,5.0,1
56,8,BqmMeZQD03LHJ_vibTOp2g,3.88,6
57,118,lodglSjhVGXzRUTDMoyOCg,3.14,35
58,5,vSxaLh9RCl1BJDbIt0hxww,4.0,5
59,2,yBMGCKvNXnb9Gr6VVRTHGw,1.5,4
60,3,1zKpgs-JZixiWiS8PWdj2w,5.0,0
61,15,lzHNLEvRNFN-RQFmczYNBw,4.14,17
62,3,HplYk367S1EV6uywIIK5-w,4.33,0
63,3,IwDii1N3yCTXsgs4Nm2OEQ,5.0,1
64,11,sGL10Y44CVzzKNkLVeHOEQ,3.55,6
65,193,UF4IY9O6EaVo-hS5FqMsiA,3.91,209
66,3,mmLIP0mFRbDgRjlKvJSAQw,2.5,9
67,5,j9CYALELapJci8kQ61_7Cg,4.25,1
68,13,Q9YX5k3ICwUYGkMjADSokQ,4.31,6
69,3,PyOkV3pQ1aw__O4VAWmvcw,2.33,4
70,2,F6uG2OxXVNkAhuM24n3ZGg,3.0,2
71,2,Acl3hg7RPM6tj4zkPvdz1Q,3.0,2
72,267,dYtkphUrU7S2_bjif6k2uA,3.3,359
73,3,jgOtDM_CSVHoWhlf3JxUzQ,4.33,1
74,214,rbcbqdr8hV0iv8ISMheE3A,3.81,166
75,5,ZAbccZRkyprv9jA5JIqEAw,5.0,0
76,90,1NppMyL-2RXQvHUExIjxdA,3.52,52
77,79,cMmQsFyrYBv6hIE6NffqZQ,3.81,89
78,252,eSAmN-5RAu8y1igSvz_yJw,3.95,970
79,23,VKOREbYBDBK5oaorb6j6mQ,4.13,24
80,8,LRsJbMmLXcMpZ3Fqcys0vA,3.88,4
81,130,n4RPA0Cuem4ygQxPIdLBLQ,3.91,117
82,21,qQxDnjMexrsfltQV7I1mJw,3.81,24
83,1,pYfB2Asdqg5ampdmqEjdzA,5.0,1
84,1,-aCl04VaJ4FWzo7y2diKZg,5.0,0
85,4,TGQRbUuikgzO2ARVicH1cQ,4.75,5
86,59,akmkd_2iLRrbOyPBfYLN0A,3.24,171
87,7,f72UJVOllcjgpZdOi7-gkA,3.5,12
88,3,EJeBInfAGoBiVWqXX2YTQg,4.0,4
89,1,rpMb-wEYPevvuaKLIbqrvQ,1.0,1
90,2,iIfuhtK9Pu7tLSNbxxoJfg,5.0,2
91,1,BE27SDgLqJTEjVq2p9yZDg,1.0,3
92,1,RqWIxCYG4a42mUCChgMQvA,5.0,1
93,32,IFKDDiyY-ap8DNaSCIwbZQ,3.1,11
94,4,sowwcc9gasFhwsdMgsMzrg,4.75,1
95,3,XYx6ZiTSIpbC3qm_xEm-KA,4.33,0
96,2,f_rpabHGZ4SgFZp5_jQ8KA,3.0,0
97,36,zKyJDKJwAfWGB4HKXp9snw,4.0,35
98,2,owCSYaRJEiV-kk2L2HP00A,1.0,4
99,16,uBAMd01ZtGXaHrRD6THNzg,4.33,17
100,16,JopzNRMvBxIc_M5pZfoK7Q,2.38,8
101,4,IBgAJmUpRFt7oxz0A7l80A,3.67,3
102,12,FxEau0b8pC_N7QeZNHZZtw,2.8,9
103,25,u74AsCsDA4gSOGHySJTm3w,3.56,31
104,8,2QzrMw_uWZuhPFvqie0cmg,4.0,6
105,4,6LDJDgd3bllzpeo1JzJSIw,3.25,1
106,5,z-TD7Mf07w8jdS2xbYp0Dw,5.0,7
107,5,_j70DLAT_Unc8uR_PNkp_Q,5.0,6
108,1,S7Zlol5qxWrRGX21Uqs4_A,5.0,4
109,1,ZpRbqGdmhgiENWtw_XQ4OA,1.0,0
110,24,4expbzCvfg4ZEWh8MOD9Cw,3.5,49
111,1,PXLb9RnpfSPRG4nNa1F05Q,5.0,3
112,2,J0jywlzX6xwjDqPewyv7MA,3.5,5
113,71,fM6zztYtf9W5DsXUhy941Q,3.65,67
114,3,F3kzrZd3R_z60p5mPeAT-Q,4.5,3
115,5,Lw2JfTJSlGLJa_qjoeYnbg,4.2,1
116,70,TSmeNkbRpG_8REsLeTIwnA,3.31,66
117,4,rxLztfrLaSOhwl5LTqbqzw,1.0,6
118,380,GDs9jnBBln3KhU0teNsHDQ,3.31,179
119,42,UlF9QddRCygQrmmXuwIFjg,3.87,14
120,1,K-N_hbnmYNt35J35ocjbww,3.0,0
121,1,i2srUvYyu0rX8ODt_RKG3w,1.0,1
122,18,GN-4LStZtWdAqNjwUUEvNQ,3.78,26
123,2,jv9monaBCfX84LIW5gFs2w,3.0,6
124,6,3ouCNuKrN3cw3bBZHXdcyQ,3.6,3
125,26,SfXcp7C6lzRgYBiNL6zX7w,4.27,25
126,4,kfvcQcMouoxlw4bmQebxww,3.75,4
127,238,2mQpxWifARjbp7H1rehVrQ,3.65,578
128,1,gkLF4m_BlvFRhOuh1OGgyw,5.0,0
129,1,7xp8QB-6APuFbiSdEI3-4Q,5.0,0
130,1,YyV13Qb7TL-o1rvn_b1VGA,5.0,1
131,3,Cw_f-K74pUnQs-A16itmEg,4.0,2
132,9,weBOpmQtMv8Z_L54gPs3hw,3.86,4
133,1,nVs5vkTn-rcbpVbnfl_KWw,5.0,1
134,2,Uo74EZEYjOeEfsUpdS3oiw,3.5,3
135,21,JiJSN4Ke7om8lkkllKTR5A,3.95,7
136,47,AcErO3j0GFTXbdJHbuD2-Q,3.79,48
137,5,53AZajKCKZsf-VosN8Dmeg,4.0,7
138,5,1O7mOUPJCxB6e5pdyCin4g,4.0,2
139,7,nu6xTWhL3SVrnxPgJOE73Q,1.8,12
140,6,xZJO6cRX6OHabaePvPzsXw,4.17,4
141,2,v1ntgoANp9xLxf4u5iJR4Q,5.0,2
142,4,bbVdfdqq3_XmWTxrhqPa0Q,4.0,3
143,88,oe614PyMdAayDUfWEaFUUA,3.89,116
144,18,Qo8UkUSL5y-MCw50eIACsQ,3.17,6
145,439,sXWvDlMQspjJ1zzr3cEM7Q,3.64,907
146,14,Wg4mxEGEI7Vz8VC0WCI69Q,3.62,28
147,8,fJH98Ok6ZlfBmsd0h_HaUQ,3.5,16
148,8,hkXeZdoz2uk1ZLORqYQ47w,4.12,3
149,1,tHE3AJdBju9VQ0fzbP72dw,5.0,1
150,28,O5dNmqcrCiE7FG7VS3y-Cw,3.75,39
151,26,ify3N2NjFX_sjDnslizsvw,3.85,10
152,1,oQSK7Poz3Ex95qpsv2EUcg,5.0,1
153,12,SFWaDnvJtHPD0pIru1y8wg,3.92,28
154,5,ThZw3MFhwjxU4bjeFL3Pcg,4.6,3
155,5,ZsjBAQiO5lNa_Tzlr3_FlQ,3.8,6
156,332,oFHxCaz9iIkuilTtqlzxEg,3.93,209
157,3,bzE1d8iiwkswuyjqC7r11Q,3.33,1
158,11,j0KVSX1QWLgjqVoYLjLqEA,4.0,16
159,4,RD2YHSnQCy2iSN_EGo3QdA,3.67,12
160,29,nr5-g3HCSidJ9fBoAP39jA,3.97,21
161,8,9b7HeM91XY9tIFGFVi7Y5A,3.71,4
162,4,AIvZS_tQ7y-ADNji1KM9Bg,3.0,3
163,7,iSjr5iewkapr08l5SPAi0A,1.6,8
164,30,dlcDKOOlGeQ7Cu-6tAiHYg,3.93,11
165,15,T2u4D_GmKo5KbDiXLRTcyA,3.43,16
166,3,AdNbFzW14o88wNo7dTKz6g,3.5,2
167,13,RxX5_RP3hSGpMhGY6y6OiQ,4.85,9
168,2,yf8gN_pRFE4c3zs1D72l4g,4.0,0
169,198,bWNjCQyTJttofo3dKtTTPQ,3.75,140
170,1,PyhTmEpgkP1CMGJP-bB9DA,5.0,1
171,1357,4CJGQajGdc8JwFneADetcQ,3.67,3391
172,14,3sfS66tTc2BLmcU959dSsg,4.15,2
173,19,p7CS-HdINxXUVxn9Ss09VA,4.0,35
174,4,LFLqZT3zTP5nJ0kH_ydVkg,2.75,4
175,31,VbkrQcb615YaVp7bFyt5fQ,3.94,97
176,11,JK0mzJWym6AFSrw849bmrQ,4.18,11
177,9,ngU1vdwjT2lGOsdTq1JK5A,4.22,11
178,22,23zT_daU4O5VcFnajw8MTg,4.0,31
179,17,SgLoVOP_KUVQuDDI3PpkFA,3.88,22
180,1,-d12fQpJ6XhN-hPzxeStCg,5.0,0
181,2,TbZ9KAHJGtmV73thmvjygQ,4.5,1
182,3,83UjWE-VBOoOws1oI4JhfA,5.0,0
183,13,4k3-pyX966dnSMuvuBvLjA,3.85,14
184,2,eT1fp_Js2GD5Z-FIt8CC1w,5.0,0
185,3,nTFnSwqOpyj5d4IifRa8XQ,3.67,8
186,4,8Kvmut7tOYkAxa5KPBT3FA,3.5,1
187,4,vh85A2GSrIovm3W7CG4R0g,4.75,7
188,5,4QA8ilDzVnF4j__I6E4T6w,2.8,6
189,5,OIEmHXKytEoQfnOu2Ozmgw,4.75,1
190,16,out_4MBKTtOqlXlHOlXwFg,3.5,19
191,1,J-H-q2-4AyFM1ILE4MARAA,5.0,0
192,6,gQm2p1gmBPQ4f1sHxgRlbw,5.0,9
193,2,TGZknBtL5dyiuoThHSKmMg,1.0,2
194,2,GIBTgFC8amRa295ozndJIQ,4.0,0
195,2,lzutD82kSsk55M7XEId6GA,4.5,3
196,6,N56tE_bSNVAgk59avW-TFA,4.83,3
197,2,Qx6Kq92S72-tik94Hfn0UA,5.0,5
198,2,zGsGvKgD-5ZtXNzTagjbkQ,1.0,1
199,40,vz05hlteS6XvnczIInsnqw,3.73,30
200,5,umHlSGfbPXti-VOinu7fkQ,4.0,7
201,13,8McyBeTdW7D4BG87Tv41WQ,4.58,5
202,2,ew-YiTn2fJH0IyjXSltKBQ,5.0,1
203,4,g5hVihQ30Nn-XoswvlvMvQ,2.33,0
204,10,lw_Lj1XjPjOYrDIkDEcDzg,4.2,3
205,1,6dDBJ5G-C5lcuLeUAwwdvQ,4.0,0
206,3,VFcEaZC5ojcgA0RIcukggA,4.0,4
207,13,cKFd4AkPGpOkEy9zR_7O5w,3.92,4
208,1,sv6o8BdnMM8UB-KTH6N7kw,5.0,0
209,258,O8tNWUq6vPmvq2YTVD8hlA,4.12,776
210,2,F98yAgA43QQR0woD80Voaw,2.5,1
211,2,chHirosDitN1crv1thxA6w,5.0,1
212,43,ShQZSh_0Be48sy-JQOb5dg,3.67,29
213,10,jd_A8MB3M33Xy9Dd7UJ7_Q,3.7,8
214,3,Igu8LjeJunbmmsZycWZuEA,2.33,1
215,4,F5ACaWQvyUQ2HH7-YIkdkw,1.75,5
216,1,aNtYQW1GoDXlLzEsEmoR3w,1.0,0
217,1,e1a1i8aFuFeSn2dJbKycmw,3.0,0
218,23,sNek-w3xKlwit6q_JpnT7Q,3.83,14
219,5,SH9lxmHsiUxQ-2Ic7A0Bcw,4.5,1
220,10,Kc6eyirhmOH8vXBljMXDCg,2.62,17
221,9,IWCF21myBYma3Cmb_9Z8LA,3.38,4
222,5,UG4Mj3GJs4PpnFlF6z7g1Q,3.4,6
223,5,_D1zyYMjll4almoGZjBmkA,5.0,5
224,9,oYiskdGb0XYT2NjRb-s_qg,3.0,12
225,100,vtfOF92rj8kXGRlMPiprWg,3.45,84
226,43,hWM1k9RNkPH9oCcoVS1ftQ,3.74,35
227,6,15J3D1xNze1NbO2SoqAQfg,4.4,2
228,10,o99g5QZpt_wc4bk1uvEH7w,4.0,16
229,24,bgjGWDjAxqIPF7BJBUps2A,2.57,66
230,5,iY_jDdD4BrRMSYgn3tCDtQ,4.0,6
231,3,nAjxNm5aWD60h6qy2bMacQ,4.33,1
232,15,US3AZyMVZJxg_3Tzs4xoEA,2.8,9
233,2,2qHG0PbNhP2GYv5ITnSFRQ,3.0,2
234,5,nUGV1dVjO84ZI3nplRbwFQ,4.2,19
235,1,R5jIAytpLfAPwsIpsViEsQ,1.0,0
236,4,yTvUoE-kAg6l11mGkdJFJA,3.75,8
237,3,DYs-7UH4lhgjvGe4d8huvA,2.0,2
238,68,7OqeO0eqe805StjppUvUFA,3.35,128
239,173,0bf_zvgBrEOnx7TLh8dxOQ,3.63,63
240,2,JvVYWmY3xmiu5cpbsGfTaA,4.0,1
241,2,TD5LHxKwYJWkSVjxx8y2pg,2.0,0
242,133,ATlqgcQwb3XzvDnq3Lv-0A,3.72,92
243,24,MAvkqp_gDtKYU1d981XnwA,3.96,30
244,43,POPVwe5sCm-SQZVkBo8S2w,4.05,18
245,26,8D408fDn0twwIW6FZ42YWg,3.15,46
246,37,c-nW0Acxj4mbX47XSpmJPg,3.62,27
247,18,qm5xGd3d47RfLWib0ryMAg,3.83,41
248,3,6SLj8XiCdqeR_DHR2JmEdw,4.0,2
249,6,fl3mDJ62rLlKIdF39Lv8MQ,3.33,3
250,1,btv7I8PxSgF4GQFIDq4rYA,5.0,2
251,14,NdytAQjOvVt1Ro8-Z99ngw,3.86,14
252,34,-nt-buRWQvDsbXuvhole0w,2.76,36
253,1,VDay0jaCPqADA2PIYco0uw,2.0,3
254,412,pYsYs7eQ9SWqAaQS0xoRLA,3.65,4704
255,1,Dw8c5RaDIvbQ16eubug6rQ,5.0,1
256,17,1u_jzMe9q3rHLUr8wb_GdA,4.81,2
257,3,UiEyQ_x2wNF6Ad8KFdoZ_A,5.0,1
258,22,_FbZ1gXZL349iiz5D8gz2Q,3.64,34
259,8,Ryy5lzNOevuI3aEc95768Q,5.0,4
260,9,SnbTDuEJZ3bvarb2L0Ykrw,3.78,2
261,1033,P-lfV8cdAgEOZJkw2dJpsw,3.92,9219
262,3,cCQberZUpkXgdGtCoqTvMg,3.67,3
263,26,-hSy455NBx_lQ3SeQioq2Q,3.65,23
264,5,vewaAGn2n53naTA1a2WP_A,4.2,12
265,1,Z18eLwQq7SYPd02nPo7juA,5.0,2
266,6,xJmdrh4uEDAKf-2KjRArHg,3.4,1
267,139,uEG5uD9wMJixGWxaq34IEw,3.64,194
268,5,PESZTjx1dw1XFdZp972qbA,4.2,2
269,8,0PDyF0G9HNEkC4qT2cSQFA,3.29,5
270,1,q6wboZhfNXd9dI57ct0XIw,4.0,0
271,8,f-_7wdkiXOc9TEfa4ZJEwA,4.62,1
272,8,0w7AQaUnSQztBbt4JT9k5w,4.0,3
273,1314,jfXT_8J_EQnJVa4sJ3z6hg,3.8,1543
274,3,96Re6vNVUJcozL0FEzO-Nw,4.67,0
275,6,TPxhtgj6BzpKBih2G5EHIQ,2.6,7
276,2,iP2sk2ek0sDyWJIZyU4j2g,5.0,1
277,18,d0KoBZ8tnsMzb2iG45vG-g,3.33,7
278,347,74BsmOZHUUdsvzYtGtlRiw,3.81,489
279,7,ZjP38OJwq604QnBzDxVlSA,4.14,4
280,28,mYhWH6RExfM_EpMR_uUozQ,4.25,6
281,2,uyUfGVoOwQVtpBEhVCVcbw,5.0,1
282,26,8Uuwc4VaupFWvlGRwOZ31w,3.88,24
283,17,VdL4eS8fAWCNInNtMvd-tw,2.82,2
284,5,jQcGFSO18cicLzCtjhvGBA,4.8,4
285,31,XoNSmEkutP_17dO7HLYc1Q,3.23,65
286,16,3QaC0Ljl2hWLdL_jzt6nJA,4.31,6
287,11,cRDmScDj6j_jPlyZn27bXA,2.7,4
288,3,dVXdgn9PKvSozekkyhi16Q,4.67,2
289,8,fCAuRQFkaN3UEebkfgpHUw,4.5,2
290,4,I5AcIAujn4X0fzjq-CTLBg,5.0,2
291,1,FGFYZUNgWcyBpWWH-1aauw,5.0,1
292,7,Bw9aoRUhoog-AtVnDBw_eA,4.43,4
293,2,YCaqPOlG6CfKOSXUGAKicA,2.0,0
294,58,-txH2zJSBZQHO6RWvoWXuQ,4.05,243
295,7,jmquyMQUHSuS8IQkv5PyYg,4.83,11
296,13,jyu9ThrwLGgVE1csLKR1Yw,3.77,8
297,5,6Oko6gNlXvknpF27R1FWOA,3.0,1
298,8,dDH8DGz2-PG558RHu5rWDQ,3.14,3
299,1,IwZkZmCpc2D7DslEogiBYg,4.0,1
300,1,1g-nGTPpg3_pjYbkgRI9jQ,4.0,0
301,50,x8n40c7W1MTWTTXsI2TxTw,3.9,56
302,357,tdNV2Wb0LrFpm1Yfov_Klw,3.91,2519
303,9,TouZvN0GpE8Ngm8_cWOK1w,4.0,6
304,6,P1gw1GkB7Kye4LK52a9kXA,3.0,14
305,61,gQhHDBekmBHSKdQ2j5mmQg,3.15,23
306,6,nWp3eeRsjv1ol3wCt3Ry7Q,2.67,5
307,5,SZxqMdlFbidxrxjiCDzryQ,3.2,6
308,32,Fjs6c1PwzY1YbTcuAyubCQ,4.0,15
309,3,AVHseP2_PaUlCWhSsS7oKg,3.5,1
310,1790,t6u29OyVPTIDI-RUlmp-WA,3.33,6491
311,9,5hOiRU4n02xNvxsfKKoznA,3.44,8
312,3,KwYxQgDFvM24DYXSVfEraA,1.0,2
313,60,i4MKtZoii8WCSq518WvIkw,4.1,144
314,29,oeQjThrGQAQIHWN2qBeERw,4.21,29
315,106,mQba83gB018LlGt51r80ZQ,3.82,169
316,1,3qgnVSizS98l5yZXGOW_sg,5.0,1
317,1,qnMSU4fQFauVQGLCotjlww,5.0,0
318,27,j2mGvnnXhp_fUxiNIoH6KQ,3.44,25
319,7,dPPa8QTRDT-6-LfRYQeIHQ,3.29,3
320,24,rUkjzVMimlyQ5n6iePQ5FQ,4.04,16
321,174,WYfVgKWdSHr8NoOEjnf8BA,3.62,86
322,1,VW7x5Jo1Yi0c34-kOT63pQ,1.0,4
323,23,gY-ne6NPsUzCdeWJonLhzQ,3.43,31
324,4,r8Jtn1IXRsZEddyYLdczDA,3.75,4
325,51,8AmFNpqDOvj5Yjfhxpysvw,3.86,18
326,27,NwsZvz90aj-bUg5hjyJmWg,3.26,49
327,2,r3tb0RdVAx0wiGWFLv0t8g,4.5,4
328,10,PKZvqm3IeWiWBYoDDoEG4w,3.22,5
329,5,yvvtblpPi_QH41Jm6ari0w,4.0,49
330,20,HrJ2gJ-J-WuoUKTAz_02Aw,3.2,25
331,9,c4Frs03yozdJJ3uvuSAp3A,4.44,4
332,16,FX7xoins2KhtC7y79BEU9g,3.38,5
333,5,F28hTTLhM5sEtIc8k7KQVw,5.0,8
334,1,kak_OB_Bb3VFDSguCdHN3w,5.0,0
335,2,lS6LniF_pemBHBzigzWBbg,1.5,3
336,1,nxW7C0VHPYBkbuyDqBkG-g,3.0,4
337,1,KMIRiJOWb6yQk_RQXyOijg,5.0,1
338,23,oUGmoziFCwNi2oUHB54SGg,4.26,26
339,1,3CiFPZtiIgzxwE3Oz8N9lA,1.0,1
340,7,4GzBe-7iyLaCFHfqbChXyw,2.43,3
341,9,ebsr5Hg2hE99-iEzSRPdBg,4.0,25
342,16,IMNHojI9CeW1NBmYVqyGWg,3.62,9
343,10,HAV50pwRVkmu8ZHD0bbZHQ,3.2,7
344,2,sMiqBDhg1oasooQ7pWBQ_Q,3.5,4
345,1,GnVC8ULHrl8o1stcNgSnnw,2.0,1
346,2,zX-1TG5Faj7aDAt15X1vmg,4.0,0
347,2,xdqZrsB4ZhxYX5hoW984jQ,3.5,1
348,1,UEjyCWJI8ytVSxknmHk6Ig,5.0,0
349,9,mSyCw4WTV3oLtTtRE-uylQ,3.22,6
350,4,9QKLP4w8DBktVfC28HAgxg,3.25,8
351,381,zw-bIcZP4_VEi3UetomDeg,4.0,1851
352,117,r_5slEuf2V8ab3SZMHVfgA,3.78,160
353,7,oZVr2_zB0h-Jb2dE4IVWbw,4.29,3
354,6,omeswY0LjLvCb8qouz763w,3.83,4
355,76,FGdS11SSEE0VZnb7E4BiiA,3.47,66
356,36,7H6TgnJAxZjK4ZWdq8-Tqg,2.97,27
357,3,MxvD9pq_jF4FxtO1yNetZQ,3.0,2
358,24,zigHnwA0FSGPGUE59lLFzA,4.04,38
359,40,f7Hv9J9GTTXd3XsfRgt3Pw,3.1,42
360,19,SKkvXrkPKEANoxNiBzfCtg,3.79,22
361,124,TpiiNLZRlBiNs35Nlm2-wg,4.12,111
362,63,KvvUJzBFR0BffuNrrLUZug,3.59,69
363,8,QlCdjt6FoM8-qa51N2jCSQ,5.0,8
364,6,MfBVS__OS-2Nm-zzmo7gEA,3.17,3
365,78,6W8g1cFTauSG7GsZGNhIjw,3.53,105
366,1,0Vhjh1g_9MhXZ8Hb_jNiTQ,5.0,2
367,8,9YcqKqs7xFH2tMOuqoUsQA,4.0,16
368,2,SNxagk8YIdqqFmoY26PmXg,5.0,2
369,6,4wLQR_2P2eYQUC04yxm09A,4.2,5
370,1,aj_KGzzcR-l7sewDnApqDA,4.0,0
371,9,z99Xto9oUSRfaj03mqQlfA,3.67,19
372,7,OfIm-r7GAv7p5JwzPUYDXg,3.29,1
373,25,76SlIVfcXJujKQ3xSyYtOQ,3.8,18
374,3,kruq_yMP2e__5vpG8sTq3Q,5.0,0
375,18,YiTrAuaKH0QGBHYe0h18Gw,3.39,19
376,2,bi9COAGNGGFWaScZ2DgMzQ,2.0,0
377,6,IqAcO08I-GS93qY2BrmbTg,5.0,1
378,19,Wmlxh305msxQuG2Mje_AvA,4.74,28
379,5,cMNHD4NWHvsKhmJlx5F3ag,4.6,6
380,14,7AYyejHIG5r7P7JFsZ3njw,4.29,10
381,3,8e5nqlfZe9iGTGcaqBN0lA,1.0,3
382,48,tDxKlkWxL1Dd1Sp_nBF6BA,4.25,68
383,2,uQPynTxs2LUNHerWP3Jbhg,3.5,5
384,2,JQnT2lCJrg0v277C4OpunQ,3.0,2
385,1,JZo5obvpX6Dsc42eheh_bw,3.0,5
386,80,b87-U2ZwReh80dLWA-ZieA,3.34,190
387,7,s0JvVpNcu1KacfWXboVuvw,4.29,8
388,20,izrPGEutYNurRfodgsIxAw,4.3,55
389,27,8U7_9ccG10nULjZZANxjCA,3.74,18
390,46,Xzy0-Ju1stFNrgqs0IrGiQ,3.87,68
391,2,uTwbgmE_wFyqSaqpc9zP_A,5.0,0
392,1,-VLz8fGKbli0lMkmzTU6wA,1.0,5
393,2,br1qvK-MvggCRpDcW4_ezw,3.0,0
394,1,3oc5xoPfPkYwJ04rqU46uQ,5.0,3
395,26,5jODkdonMV0HbIIPik1RuA,4.0,23
396,10,4aM_mL0xArtvpJBwetqagw,4.8,8
397,56,IsvpOkTel_AWtGTAapM6XQ,4.23,39
398,28,MQz-bZND3T_-RRwBOcINKQ,4.29,18
399,10,yT5zeZCV2jDHdQX5xBSxpA,4.1,12
400,93,BVqYroeIcjd5dZq6axUNAg,3.7,110
401,7,wHJOaznFDWzoAwQskGgAJg,1.86,14
402,8,ChasWJt6OMCsIpPg4Uly8g,3.5,4
403,2,JJ-4CMgzXvH-2ezBdojnaw,5.0,3
404,1,enD3soG1PXoBx60R9oXb3A,1.0,2
405,1,fOpw1fEVhhWMqo0B7NjsVw,5.0,1
406,3,ISTfsB5G2Qsqvr6r4vVy9g,3.67,2
407,2,6EvgGCHSr5tJiLyJ9dZn3w,3.0,1
408,8,ttUEswTJvegyDC88G8VxZg,3.12,3
409,46,-QT_e-7VSun5c2z85k_k5A,3.96,125
410,10,OP0Rh-KTJKb2r6yQYu6ytQ,2.0,18
411,6,F8REvqCL9BjIp6B9rUU_2Q,3.17,16
412,34,_Li1-mskJaqD2lhQRlWo0A,3.53,67
413,2,vH1t_AB1Pqzoi0D04NvZBg,4.5,1
414,11,pCxaM5a3eEkfRZme28H4Xg,4.18,22
415,11,2BiT4UmTnrnipyJTcBb6QA,3.18,2
416,263,ueFG4iLS8AGlDsT3Y41dmA,3.93,318
417,3,Q2mW1efe0ttTY6oX65feKg,4.33,1
418,9,0VJkru53hi_-YqQ4LoIbnw,4.33,12
419,28,MevHLh2xVAcBVOwvs0jS1w,3.75,6
420,12,k0ZiLk6LMoa8kCFmTjJ_Qg,4.0,2
421,3,l4j6Qm2Wfdx_PmPbUgyrYA,5.0,7
422,122,JQ209VaccTCHSqT22iYXlA,3.64,104
423,8,GGyXHGGXyIb6Bc8Hh-rgNw,3.14,4
424,5,M5aFV6a_fy5wQNowvWHV5A,2.8,5
425,1556,mFOZOsPQOacWIMVSyXbEbg,3.81,15570
426,3,Nf2fbTcpiWKpuHYKQvWeBA,1.0,3
427,1,LJb4foa2owyrzqhCnRCIvQ,4.0,2
428,52,Poe51tV71Ngel2WROrfwHw,4.13,38
429,2,wABCCy5wxzbqkh44M5EjnA,3.0,0
430,13,sbjfYosWSEaQByfqCPgrKg,3.69,7
431,42,ME_oGsxnoO-eRrJqNgjrfg,3.81,168
