,buiness_review_count,business_categories,business_city,business_id,business_stars,checkin_info
14,7,"['Hotels & Travel', 'Event Planning & Services', 'Hotels']",Chandler,9iLiMm3Z9nepRDu1AhgEoQ,4.5,"{'21-0': 1, '8-6': 1, '9-3': 2, '6-6': 1, '5-4': 3, '7-1': 7, '4-2': 1, '8-2': 1, '6-3': 2, '5-2': 3, '17-0': 2, '6-5': 1, '7-3': 9, '17-2': 2, '13-2': 2, '17-1': 2, '13-3': 1, '10-2': 2, '9-2': 1, '5-6': 1, '14-5': 1, '4-4': 1, '12-6': 1, '10-0': 2, '6-1': 3, '7-0': 6, '11-3': 4, '14-4': 1, '8-1': 4, '5-3': 1, '9-4': 1, '10-1': 1, '12-4': 2, '11-2': 3, '12-2': 1, '6-4': 3, '9-1': 1, '9-0': 1, '6-0': 5, '14-6': 3, '11-0': 1, '7-5': 2, '10-3': 3, '3-4': 1, '12-1': 1, '6-2': 2, '8-3': 6, '17-3': 2, '8-0': 1, '7-6': 1, '14-3': 1, '9-6': 1, '5-1': 2, '7-4': 5, '7-2': 5, '13-1': 2, '12-0': 1}"
15,11,"['Department Stores', 'Fashion', 'Shopping']",Phoenix,G2Re2E5Jkv_UF1xrenSsDg,4.0,"{'12-3': 1, '19-2': 1, '13-4': 1, '11-4': 1, '12-4': 1, '18-3': 1, '11-3': 1, '19-5': 1, '20-2': 1, '20-5': 1, '19-3': 2, '12-2': 1, '20-3': 1, '19-4': 1, '17-4': 2, '12-0': 2, '20-1': 1, '18-4': 1, '17-0': 1}"
16,12,"['Window Washing', 'Home Services']",Tempe,8lTdJA9GK59-NzJwleSJBQ,5.0,"{'19-0': 1, '19-2': 1, '12-3': 1, '11-4': 4, '13-5': 1, '15-1': 1, '18-3': 1, '11-2': 3, '11-3': 5, '15-2': 3, '17-5': 1, '21-6': 1, '18-5': 1, '12-6': 1, '20-0': 1, '15-5': 1, '11-0': 2, '16-5': 2, '20-1': 1, '3-2': 1, '13-2': 2, '10-3': 3, '14-6': 1, '12-1': 2, '12-4': 1, '13-3': 2, '15-6': 1, '20-4': 1, '10-2': 1, '11-1': 2, '20-6': 1, '18-6': 1, '19-3': 1, '18-0': 2, '10-4': 1, '12-2': 3, '19-6': 1, '14-4': 1, '12-0': 1, '17-4': 1, '18-4': 1, '19-1': 1}"
17,23,"['Burgers', 'Restaurants']",Phoenix,Jj7bcQ6NDfKoz4TXwvYfMg,4.0,"{'13-6': 1, '13-3': 1, '10-0': 1, '0-3': 1, '15-1': 1, '14-2': 1, '16-6': 1, '14-6': 1, '20-4': 1, '20-2': 1, '16-3': 1}"
18,15,"['Kitchen & Bath', 'Shopping', 'Home & Garden']",Chandler,OMXAkiWyKz0AM6PwwuP38Q,4.0,"{'11-4': 2, '14-1': 1, '11-2': 1}"
19,8,"['Food', 'Beer, Wine & Spirits']",Carefree,K0v87iFgB3sXSzw6e-BJ5w,4.5,"{'12-3': 1, '8-4': 1, '14-1': 1, '12-4': 1, '11-2': 2, '7-1': 1, '15-0': 1, '10-5': 1, '16-6': 1, '15-5': 1, '13-5': 1, '11-6': 1, '16-3': 1, '6-2': 1, '12-5': 1, '16-0': 1, '8-0': 1, '10-6': 1, '10-0': 1, '7-0': 1, '9-5': 1, '7-2': 1, '7-4': 1}"
20,4,"['Plumbing', 'Home Services']",Mesa,jcQgDviuCuJLJWjYoTy9MA,5.0,"{'12-3': 2, '11-4': 1, '14-1': 1, '12-4': 1, '11-2': 6, '6-6': 1, '7-1': 1, '6-4': 4, '9-1': 1, '9-0': 2, '15-0': 1, '10-5': 1, '10-4': 1, '10-6': 1, '13-5': 1, '8-5': 1, '7-5': 2, '14-6': 1, '7-6': 1, '10-2': 8, '12-5': 1, '9-2': 3, '8-6': 2, '8-3': 1, '8-0': 1, '13-3': 1, '6-1': 1, '11-5': 2, '12-2': 2, '9-5': 2, '7-4': 3, '7-2': 1, '9-4': 1}"
21,11,"['Bars', 'Nightlife', 'Lounges']",Scottsdale,QL3vFMAsEHqfi1KGH-4igg,3.0,"{'19-0': 1, '19-2': 1, '18-3': 1, '17-1': 1, '10-4': 1, '15-3': 1, '7-1': 1, '20-5': 1, '8-2': 1, '17-4': 2, '16-6': 1, '23-3': 1, '13-0': 1, '21-2': 1}"
22,42,"['Buffets', 'Dim Sum', 'Chinese', 'Restaurants']",Phoenix,yOYFhiTjT-SM4spKtDk92w,3.5,"{'21-4': 3, '19-2': 1, '13-5': 2, '19-4': 1, '11-3': 1, '21-6': 1, '15-0': 1, '12-6': 1, '20-5': 4, '16-5': 1, '22-6': 1, '20-1': 1, '21-5': 4, '12-5': 1, '20-6': 1, '14-5': 1, '22-5': 1, '14-0': 1, '9-6': 1, '9-5': 1, '13-0': 1, '18-4': 1, '18-1': 1}"
23,3,"['Burgers', 'Fast Food', 'Restaurants']",Scottsdale,4IAzFJ159GEaIGX1-y6Bmw,2.5,"{'20-0': 1, '13-4': 1, '8-4': 1, '13-5': 4, '15-1': 3, '19-2': 1, '15-3': 1, '17-5': 1, '15-4': 3, '13-6': 1, '10-5': 2, '18-5': 4, '11-4': 3, '2-4': 1, '18-1': 3, '17-6': 6, '11-6': 1, '20-1': 1, '20-6': 2, '21-2': 1, '23-1': 1, '19-3': 1, '22-4': 3, '8-5': 4, '18-3': 2, '15-6': 1, '20-4': 2, '12-5': 5, '20-3': 1, '22-0': 1, '14-5': 2, '17-4': 4, '13-3': 1, '10-0': 1, '23-3': 1, '19-6': 2, '14-4': 3, '9-5': 4, '11-5': 6, '17-2': 2, '18-4': 3, '21-4': 10, '16-1': 2, '14-0': 2, '12-4': 1, '11-2': 1, '16-3': 3, '16-6': 1, '19-1': 1, '11-0': 1, '22-6': 1, '22-3': 2, '18-2': 1, '7-5': 1, '14-6': 4, '12-6': 1, '21-5': 5, '17-0': 1, '19-5': 3, '11-1': 1, '17-3': 4, '10-6': 1, '16-4': 1, '13-2': 1, '7-6': 1, '17-1': 3, '19-4': 4, '14-3': 1, '9-6': 1, '7-4': 1, '18-6': 2, '13-1': 1, '15-5': 4}"
24,5,"['Department Stores', 'Fashion', 'Shopping', 'Drugstores']",Scottsdale,s02x9kPbZii-uw1x0Oyy6w,3.5,"{'13-4': 1, '11-4': 1, '14-1': 1, '11-5': 1, '17-1': 1, '16-5': 2, '15-4': 1, '15-0': 1, '18-5': 1, '9-6': 2, '3-4': 2, '9-0': 2, '17-6': 1, '13-5': 1, '11-6': 1, '20-4': 1, '18-2': 1, '13-6': 2, '16-6': 2, '14-6': 1, '12-1': 2, '12-4': 1, '18-0': 1, '15-6': 1, '12-5': 2, '10-5': 2, '17-5': 2, '17-3': 3, '16-0': 1, '16-4': 2, '13-3': 1, '10-0': 1, '8-5': 1, '19-4': 2, '12-6': 1, '9-5': 1, '21-2': 1, '14-0': 2}"
25,54,"['Shopping Centers', 'Shopping']",Scottsdale,e9JhcYEgNbRL8i8CTdQO2w,4.5,"{'13-4': 1, '20-3': 1, '12-0': 1, '11-2': 1, '10-2': 1, '12-2': 1, '10-3': 1, '11-1': 1, '13-1': 1, '16-3': 2}"
26,85,"['Food', 'Breweries', 'American (New)', 'Restaurants']",Scottsdale,MLAnvEcvDfOWELHUN_0xEw,3.0,"{'18-0': 1, '17-3': 1, '18-4': 1, '18-6': 1}"
27,15,"['Active Life', 'Dog Parks', 'Amateur Sports Teams', 'Parks']",Glendale,BtKwRZRMyTIi9BRFk-75sQ,4.0,"{'19-2': 2, '11-4': 1, '13-5': 1, '18-3': 1, '11-2': 1, '16-3': 1, '12-6': 1, '10-6': 5, '20-0': 1, '10-5': 3, '10-3': 2, '10-4': 2, '21-5': 1, '9-2': 1, '20-2': 1, '17-3': 1, '20-6': 1, '13-2': 1, '10-2': 1, '10-0': 1, '9-4': 1, '19-6': 2, '9-6': 2, '9-5': 3, '8-1': 1, '8-3': 1}"
28,5,"['Pediatric Dentists', 'Health & Medical', 'Dentists']",Gilbert,MwIM3O0p8V_y2ttXz0_xGw,3.5,"{'19-0': 3, '0-2': 1, '20-3': 3, '21-0': 2, '20-2': 4, '15-4': 3, '21-6': 3, '18-5': 3, '18-1': 3, '20-5': 4, '16-5': 1, '17-6': 1, '20-4': 5, '23-4': 1, '17-2': 3, '19-3': 1, '22-4': 6, '0-5': 1, '15-6': 2, '22-0': 2, '22-5': 6, '23-3': 1, '17-4': 2, '23-1': 4, '21-1': 4, '18-4': 6, '21-4': 6, '19-2': 2, '21-2': 2, '18-3': 1, '11-3': 1, '2-5': 1, '16-6': 1, '19-1': 1, '20-0': 3, '22-6': 1, '21-3': 1, '22-3': 1, '17-0': 2, '22-2': 2, '21-5': 1, '23-6': 1, '19-5': 1, '23-2': 2, '17-3': 3, '20-6': 5, '16-4': 1, '13-2': 1, '18-0': 2, '17-1': 2, '19-4': 3, '15-2': 1, '0-1': 1, '16-2': 1, '15-5': 1}"
29,9,"['Pizza', 'Restaurants']",Scottsdale,JHp5mJvYe6UtM_QsklR-iw,3.0,"{'17-4': 1, '13-4': 1, '11-4': 1, '12-4': 1, '8-6': 1, '14-4': 1}"
30,5,"['Active Life', 'Performing Arts', 'Arts & Entertainment', 'Dance Studios', 'Fitness & Instruction']",Tempe,O0ayL4r9AbonKwdgelBL3A,5.0,"{'7-5': 1, '13-5': 1, '14-0': 1, '10-2': 1, '11-3': 1, '14-3': 1, '17-5': 1, '15-4': 1, '21-6': 1, '15-3': 1, '10-0': 1, '9-1': 1, '16-5': 1, '18-2': 1}"
31,10,"['Mexican', 'Restaurants']",Gila Bend,sygb2W4NRadVXiWhW8bnFQ,3.5,"{'19-0': 4, '14-1': 1, '15-1': 1, '21-0': 4, '19-2': 10, '15-3': 3, '17-5': 22, '15-4': 23, '21-6': 28, '18-5': 22, '20-5': 27, '18-1': 29, '14-2': 1, '16-5': 22, '17-6': 34, '14-5': 6, '20-1': 6, '23-4': 12, '17-2': 72, '8-0': 1, '22-4': 15, '1-6': 3, '15-6': 12, '23-0': 1, '20-6': 21, '16-0': 7, '18-6': 27, '22-5': 12, '22-1': 1, '23-3': 2, '19-6': 23, '23-1': 1, '21-1': 3, '18-4': 29, '0-6': 4, '21-4': 27, '16-1': 17, '13-5': 1, '21-2': 7, '18-3': 35, '12-0': 1, '12-2': 1, '20-4': 35, '16-3': 24, '12-6': 1, '23-5': 21, '19-1': 11, '20-0': 5, '22-6': 15, '21-3': 6, '22-3': 12, '18-2': 38, '17-0': 17, '14-6': 3, '16-6': 37, '21-5': 20, '23-6': 3, '10-6': 1, '19-5': 25, '20-2': 6, '17-3': 50, '20-3': 6, '16-4': 56, '19-3': 19, '18-0': 15, '17-1': 40, '19-4': 29, '15-2': 7, '9-6': 1, '0-0': 1, '0-1': 3, '17-4': 78, '1-0': 1, '16-2': 61, '15-5': 6}"
32,4,"['Thrift Stores', 'Used, Vintage & Consignment', 'Fashion', 'Shopping']",Phoenix,ECuS72VSRKpRRFToQiNQxA,5.0,"{'17-0': 1, '1-6': 1, '14-3': 1, '21-5': 1, '17-5': 1, '11-1': 1, '16-2': 1, '0-6': 1}"
33,9,"['Caterers', 'Restaurants', 'Event Planning & Services', 'Italian']",Phoenix,JvJjaTJCyUGu5SDpoJWvZg,3.0,"{'12-3': 1, '21-4': 1, '2-6': 1, '21-0': 1, '10-3': 3, '10-5': 1, '2-5': 1, '19-1': 1, '8-2': 1, '18-5': 1, '10-4': 1, '15-5': 1, '0-5': 1, '20-0': 1, '21-1': 2, '3-6': 1, '8-5': 1, '21-3': 2, '10-1': 1, '1-6': 2, '21-5': 2, '22-6': 1, '9-2': 1, '20-2': 1, '20-3': 1, '10-6': 2, '11-5': 3, '19-6': 1, '12-6': 3, '9-5': 1, '7-4': 1, '17-6': 2, '18-1': 2}"
34,5,"['Hair Salons', 'Beauty & Spas']",Phoenix,u9b49Z4JmvbP6KTe26lyoA,4.0,"{'19-0': 2, '12-3': 1, '13-4': 1, '11-4': 3, '14-1': 2, '2-6': 2, '9-3': 2, '23-2': 2, '1-5': 2, '7-1': 1, '9-0': 3, '18-5': 2, '15-5': 2, '18-1': 2, '14-2': 1, '17-6': 1, '13-5': 1, '8-5': 2, '20-4': 2, '21-3': 1, '21-2': 3, '17-2': 1, '13-2': 1, '17-5': 1, '12-4': 2, '10-2': 2, '12-5': 1, '10-3': 3, '18-6': 1, '22-5': 2, '5-3': 1, '9-4': 2, '23-3': 1, '19-6': 1, '12-6': 1, '21-1': 4, '8-1': 1, '13-0': 2, '21-4': 2, '19-2': 5, '19-4': 1, '18-3': 1, '11-2': 2, '5-0': 2, '11-3': 1, '9-1': 3, '14-5': 3, '19-1': 2, '11-0': 3, '1-6': 4, '10-1': 2, '12-1': 3, '21-5': 2, '17-0': 1, '19-5': 1, '11-1': 4, '17-3': 1, '20-6': 2, '19-3': 1, '18-0': 1, '1-1': 1, '17-1': 3, '0-0': 1, '14-3': 1, '12-0': 3, '17-4': 1, '20-2': 3, '16-2': 1, '10-6': 1}"
35,3,[],Scottsdale,j1Ql05L7wn_8GGLj3jHkWg,5.0,"{'19-0': 3, '11-4': 2, '13-5': 8, '15-1': 1, '16-3': 1, '19-2': 1, '11-1': 1, '20-5': 6, '21-6': 3, '16-4': 1, '18-5': 9, '17-0': 6, '18-1': 2, '16-5': 7, '14-1': 1, '11-6': 2, '20-1': 2, '10-1': 1, '17-2': 1, '17-4': 5, '22-4': 2, '17-1': 1, '15-6': 4, '20-4': 7, '12-5': 3, '20-6': 3, '16-0': 2, '18-6': 3, '22-5': 6, '21-3': 1, '23-3': 7, '19-6': 2, '12-6': 1, '9-5': 2, '23-2': 1, '18-4': 6, '21-4': 4, '16-1': 1, '11-5': 2, '18-3': 2, '11-2': 1, '15-0': 2, '20-3': 1, '19-1': 3, '20-0': 1, '21-1': 2, '21-0': 3, '10-5': 4, '22-3': 3, '18-2': 3, '13-6': 1, '14-6': 5, '12-1': 1, '16-6': 5, '21-5': 6, '10-6': 4, '19-5': 7, '17-5': 3, '17-3': 1, '0-5': 1, '13-0': 2, '13-2': 1, '18-0': 1, '19-4': 8, '14-3': 1, '9-6': 1, '12-0': 3, '17-6': 4, '20-2': 1, '13-1': 1, '15-5': 2}"
36,27,"['Chinese', 'Restaurants']",Phoenix,507GX11jtCsVYlzaur05_w,4.0,"{'6-6': 2, '16-1': 1, '4-4': 1, '5-0': 2, '23-6': 1, '5-6': 1, '23-4': 2, '6-3': 2, '6-0': 1, '15-2': 1, '5-1': 1, '16-4': 1, '7-2': 1, '23-2': 3, '0-4': 1, '7-6': 1}"
37,15,"['Fashion', 'Shopping', 'Jewelry', 'Accessories']",Phoenix,3ic0B872Tql7dwO4YRTDCw,4.5,"{'12-3': 3, '19-0': 3, '13-4': 5, '11-4': 6, '13-5': 1, '15-1': 1, '20-2': 2, '15-4': 1, '21-6': 2, '18-5': 6, '20-5': 5, '18-1': 1, '14-2': 1, '16-5': 4, '17-6': 7, '11-6': 3, '20-1': 3, '23-4': 1, '21-2': 1, '17-2': 2, '13-2': 2, '13-6': 1, '17-5': 4, '12-4': 8, '15-6': 2, '20-4': 7, '10-2': 2, '20-3': 2, '16-0': 2, '14-5': 2, '22-5': 1, '13-3': 2, '14-0': 2, '19-6': 4, '14-4': 2, '21-1': 1, '10-4': 1, '13-0': 3, '18-4': 4, '21-4': 2, '19-2': 4, '11-5': 1, '18-3': 4, '11-2': 2, '11-3': 3, '20-6': 1, '12-2': 2, '8-5': 1, '12-6': 2, '20-0': 4, '19-1': 2, '11-0': 3, '18-2': 7, '17-0': 2, '14-6': 2, '12-1': 4, '16-6': 4, '21-5': 3, '19-5': 3, '11-1': 2, '17-3': 2, '1-0': 1, '16-4': 11, '19-3': 3, '18-0': 6, '17-1': 4, '16-2': 1, '19-4': 6, '14-3': 1, '12-0': 2, '17-4': 1, '18-6': 8, '13-1': 6, '15-5': 2}"
38,17,"['Active Life', 'Hiking']",Scottsdale,0EE3BohGb4lxWRnHLiqNnw,4.5,"{'13-5': 1, '15-1': 1, '18-3': 1, '11-2': 2, '15-3': 1, '12-5': 1, '14-5': 1, '13-0': 1, '14-2': 1, '15-5': 2}"
39,3,['Restaurants'],Chandler,GhC1V0MRGoma3MP0Gn28Fw,4.5,"{'19-2': 1, '13-4': 1, '13-5': 1, '18-3': 1, '11-2': 3, '11-3': 1, '15-4': 1, '12-2': 2, '15-0': 1, '18-5': 1, '10-4': 1, '20-5': 1, '18-1': 3, '11-0': 3, '10-5': 1, '18-2': 4, '13-6': 1, '17-4': 2, '17-5': 3, '12-1': 3, '12-4': 1, '21-5': 1, '12-5': 1, '19-5': 2, '11-1': 1, '17-3': 1, '20-3': 2, '14-5': 2, '19-3': 1, '10-0': 1, '17-1': 2, '18-4': 1, '11-5': 2, '19-6': 1, '14-4': 1, '13-1': 1, '12-0': 1}"
40,3,"['Print Media', 'Mass Media']",Tempe,pvJuii1d2CTQd9BF3gT_Sg,4.5,"{'22-4': 1, '12-1': 2, '21-2': 1, '17-1': 1, '11-2': 2, '15-3': 1, '11-3': 1, '1-4': 1, '20-3': 2, '14-4': 1, '5-2': 1, '11-0': 1, '2-3': 1, '12-6': 1, '20-4': 1, '3-1': 1}"
41,11,"['Arts & Entertainment', 'Cinema']",Glendale,-nPwp-pg-pTEO2nqo1h_lg,2.5,"{'13-4': 1, '11-4': 4, '13-5': 1, '19-4': 3, '18-3': 1, '11-2': 1, '11-3': 1, '17-5': 3, '18-5': 1, '16-6': 2, '15-5': 1, '20-0': 2, '18-6': 1, '20-4': 1, '13-6': 2, '22-4': 1, '12-4': 1, '10-4': 1, '11-0': 2, '12-5': 1, '19-5': 2, '20-2': 2, '17-3': 1, '20-6': 1, '14-5': 2, '19-3': 1, '17-1': 2, '11-5': 2, '21-1': 1, '18-4': 3, '12-0': 1}"
42,38,"['Burgers', 'Restaurants']",Phoenix,reMYkuDhLk4raAviOFtvOQ,4.0,"{'7-5': 2, '19-2': 1, '21-2': 2, '8-6': 1, '17-2': 1, '12-5': 1, '19-5': 1, '20-2': 3, '14-5': 1, '18-5': 1, '7-6': 2, '10-6': 1, '11-5': 2, '9-5': 2, '10-5': 2, '18-4': 1}"
43,3,"['Delis', 'Restaurants']",Mesa,MG1IbQUurcXn8NQgXGM34Q,3.5,"{'19-2': 2, '21-3': 1, '17-1': 1, '17-2': 1, '18-5': 1, '0-5': 1, '16-5': 2, '17-6': 1, '20-4': 1, '17-4': 1, '18-0': 1, '21-5': 1, '20-1': 1, '19-5': 6, '20-5': 1, '18-6': 1, '19-3': 1, '15-6': 1, '19-4': 1, '19-6': 2, '18-4': 1, '18-1': 1}"
44,3,"['Chinese', 'Restaurants']",Phoenix,KqYY2rwD8ymjU9mVJwiuRQ,3.5,"{'13-6': 1, '12-3': 1, '10-6': 1, '18-1': 1, '17-1': 2, '15-2': 1, '17-2': 2, '12-5': 2, '16-5': 1, '16-2': 1, '19-1': 1}"
